timestamp, index, utilization.gpu [%], utilization.memory [%], pstate, temperature.gpu, memory.used [MiB], memory.free [MiB]
2020/05/01 13:47:36.145, 3, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:36.146, 4, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:36.147, 5, 0 %, 0 %, P0, 32, 0 MiB, 32480 MiB
2020/05/01 13:47:36.148, 6, 0 %, 0 %, P0, 30, 0 MiB, 32480 MiB
2020/05/01 13:47:36.148, 7, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:36.149, 8, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:36.150, 9, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:36.151, 10, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:36.152, 11, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:36.153, 12, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:36.153, 13, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:36.154, 14, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:36.155, 15, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:41.156, 0, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:41.158, 1, 0 %, 0 %, P0, 27, 0 MiB, 32480 MiB
2020/05/01 13:47:41.159, 2, 0 %, 0 %, P0, 30, 0 MiB, 32480 MiB
2020/05/01 13:47:41.160, 3, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:41.161, 4, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:41.161, 5, 0 %, 0 %, P0, 32, 0 MiB, 32480 MiB
2020/05/01 13:47:41.162, 6, 0 %, 0 %, P0, 30, 0 MiB, 32480 MiB
2020/05/01 13:47:41.163, 7, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:41.164, 8, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:41.165, 9, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:41.166, 10, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:41.167, 11, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:41.168, 12, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:41.169, 13, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:41.170, 14, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:41.171, 15, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:46.172, 0, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:46.173, 1, 0 %, 0 %, P0, 27, 0 MiB, 32480 MiB
2020/05/01 13:47:46.174, 2, 0 %, 0 %, P0, 30, 0 MiB, 32480 MiB
2020/05/01 13:47:46.175, 3, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:46.176, 4, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:46.177, 5, 0 %, 0 %, P0, 32, 0 MiB, 32480 MiB
2020/05/01 13:47:46.177, 6, 0 %, 0 %, P0, 30, 0 MiB, 32480 MiB
2020/05/01 13:47:46.178, 7, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:46.179, 8, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:46.180, 9, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:46.181, 10, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:46.182, 11, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:46.182, 12, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:46.183, 13, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:46.184, 14, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:46.185, 15, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:51.187, 0, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:51.188, 1, 0 %, 0 %, P0, 27, 0 MiB, 32480 MiB
2020/05/01 13:47:51.189, 2, 0 %, 0 %, P0, 30, 0 MiB, 32480 MiB
2020/05/01 13:47:51.190, 3, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:51.191, 4, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:51.192, 5, 0 %, 0 %, P0, 32, 0 MiB, 32480 MiB
2020/05/01 13:47:51.192, 6, 0 %, 0 %, P0, 30, 0 MiB, 32480 MiB
2020/05/01 13:47:51.193, 7, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:51.194, 8, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:51.195, 9, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
